name,paper_num
Mengjie Zhang,10
Xue Bing,10
Quoc Le,10
Sun Yanan,9
Jiang Weiwen,8
Shi Yiyu,8
Wei Zhang,8
Xu Hang,8
Zhenguo Li,8
Hutter Frank,7
Wang Yunhe,7
Xiaodan Liang,7
Chu Xiangxiang,6
Jingtong Hu,6
Song Han,6
Tianming Liu,6
Wang Bin,6
Xu Chang,6
Zhang Bo,6
David Doermann,5
Dong Xuanyi,5
Han Cai,5
Hanxiao Liu,5
Tomoharu Nagao,5
Yu Zheng,5
Zhang Baochang,5
AJ Piergiovanni,4
Angelova Anelia,4
Barret Zoph,4
Chunhua Shen,4
Gabriel Bender,4
Hao Chen,4
Ji Rongrong,4
Mingxing Tan,4
Qing Li,4
Savani Yash,4
Shirakawa Shinichi,4
Tianbao Zhou,4
Tong Zhang,4
Wei Hua,4
White Colin,4
Xu Chunjing,4
Yang Lei,4
Yang Yi,4
Yuille Alan,4
Zhichao Lu,4
Łukasz Dudziak,4
Abdelfattah Mohamed S.,3
Banzhaf Wolfgang,3
Chen Hanlin,3
Elsken Thomas,3
Fangfei Ge,3
George Kyriakides,3
Gesmundo Andrea,3
Gong Xuan,3
Goodman Erik,3
Han Kai,3
Huazhong Yang,3
Huiqi Li,3
Hyeji Kim,3
Irwin King,3
Ji Lin,3
Jian Sun,3
Jixiang Li,3
Kalyanmoy Deb,3
Konstantinos Margaritis,3
Kuan Wang,3
Lane Nicholas D.,3
Lin Yujun,3
Liu Tie-Yan,3
Masayuki Kobayashi,3
Maxim Neumann,3
Meng Gaofeng,3
Mi Zhang,3
Miao Zhang,3
Pieter-Jan Kindermans,3
Qian Chen,3
Qinglin Dong,3
Ran He,3
Royson Lee,3
Shirui Pan,3
Suganuma Masanori,3
Tao Qin,3
Tian Qi,3
Tian Yuandong,3
Wang Fei,3
Wang Jun,3
Willie Neiswanger,3
Xiangyu Zhang,3
Xiao Zeng,3
Xiaojun Chang,3
Xuefei Ning,3
Yan Shen,3
Yao Quanming,3
Yen Gary G.,3
You Shan,3
Yu Wang,3
Zhaohui Yang,3
Zhijian Liu,3
Zongyuan Ge,3
Aaron Klein,2
An-Chieh Cheng,2
Baker Bowen,2
Bao Ge,2
Bo Lyu,2
Chau Thomas,2
Chen Bo,2
Chen Enhong,2
Chen Xinghao,2
Chen Yukang,2
Cheng He,2
Cheng Ran,2
Chu Xiaowen,2
Chuan Zhou,2
Chuxi Li,2
Da-Cheng Juan,2
Danghui Wang,2
Dasgupta Sakyasingha,2
Debadeepta Dey,2
Dollár Piotr,2
Dong Ni,2
Eric Horvitz,2
Faisal Waris,2
Fei Tian,2
